id,source,title,date,description,url,earliest_deadline,deadlines,funding_amounts,emails,phone_numbers,attachments,research_field,grant_type
43,anr,"ERA4Health 2026 - Comprendre et prévenir le surpoids et l'obésité (PREVENT-OO) - Mécanismes de leur apparition et de leur progression, déterminants négligés et nouvelles stratégies pour les périodes cruciales de transition de vie",13/03/2026,"L’ANR s’associe au nouvel appel à projets transnationaux « PREVENT-OO » lancé dans le cadre du Partenariat ERA4Health. Cet appel vise à soutenir la recherche qui améliore la compréhension des causes de l'obésité, du surpoids et des complications associées en utilisant une approche mécaniste/expérimentale, ainsi que des études qui développe des stratégies de santé publique pour la prévention du surpoids et de l’obésité liés aux différentes périodes cruciales de transition de vie.",https://anr.fr/fr/detail/call/era4health-2026-comprendre-et-prevenir-le-surpoids-et-lobesite-prevent-oo-mecanismes-de-leur/,2025-11-13,"[""2025-11-13"", ""2025-11-18"", ""2025-11-21"", ""2025-12-09"", ""2026-01-21"", ""2026-06-11""]",[],"[""prevent-oo@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-era4health-prevent-oo-2026-v2.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-era4health-prevent-oo-2026-annexe-fr-v2.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-era4health-prevent-oo-2026-pre-proposal-template-v2.docx"", ""https://anr.fr/fileadmin/aap/2026/aap-era4health-prevent-oo-2026-guidelines-applicants-v2.pdf""]",Ciências da Saúde,Projeto / Appel
44,anr,"EP PerMed - CARMEN2026 - Appel à projets transnational conjoint 2026 - Médecine Personnalisée pour les maladies CARdiovasculaires, MEtaboliques et réNales",13/03/2026,"Dans le cadre du partenariat Européen pour la médecine personnalisé, EP PerMed (soutenus par l’Union européenne dans le cadre d’Horizon Europe, accord de subvention n° 101137129), L’Agence Nationale de la Recherche, en partenariat avec 38 organismes de financement, lance son appel à projets transnational conjoint sur le thème « Médecine Personnalisée pour les maladies CARdiovasculaires, MEtaboliques et réNales (CARMEN2026) ». Le budget disponible pour cet appel est de 38 Mio€ (env.).",https://anr.fr/fr/detail/call/ep-permed-carmen2026-appel-a-projets-transnational-conjoint-2026-medecine-personnalisee-pour-l/?utm_source=Newsletter&utm_medium=Email&utm_campaign=decembre-2025,2025-12-05,"[""2025-12-05"", ""2026-02-10"", ""2026-06-09""]",[],"[""eppermed@agencerecherche.fr""]","[""0173548332""]","[""https://anr.fr/fileadmin/aap/2026/aap-eppermed-jtc-carmen-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-jtc-carmen-2026-GuidelinesApplicants.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-jtc-carmen-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-jtc-carmen-2026-pre-proposal_form.docx""]",Informática e IA,Projeto / Appel
45,anr,AAPG - Appel à projets générique 2026,13/03/2026,"Principal appel de l’Agence nationale de la recherche (ANR), l’Appel à projets générique 2026 (AAPG 2026) s’adresse à toutes les communautés scientifiques et à tous les acteurs publics ou privés impliqués dans la recherche française. Il doit permettre aux chercheurs et chercheuses des différents domaines scientifiques de financer leurs projets de recherche sur un grand nombre de thématiques, finalisées ou non.",https://anr.fr/fr/detail/call/aapg-appel-a-projets-generique-2026/,2025-10-15,"[""2025-10-15"", ""2026-02-17"", ""2026-03-26""]",[],"[""aapg.science@agencerecherche.fr"", ""aapg.science@anr.fr"", ""aapg.adfi@anr.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-guide-v2.0.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-Attestation-PRME-Formulaire.docx"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-Trame-proposition-detaillee-V2.0-Fr.docx"", ""https://anr.fr/fileadmin/aap/2026/Form_full_proposal_AAPG2026_V2.0_Eng.docx"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-Annexe-budgetaire-obligatoire-partenaires-fr-Lead.docx"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-FAQ-Etp2-V1.0.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-dgos.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-DFG.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FWF.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-CNPQ.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FACEPE.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FAPESP.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-RGC.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FNR.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FRQ.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-FNS.pdf"", ""https://anr.fr/fileadmin/aap/2026/anr-aapg-2026-prci-NSTC.pdf""]",Informática e IA,Projeto / Appel
46,anr,THCS 2026 – Transformation des systèmes de santé – Réduire les inégalités d’accès et d’utilisation des services de santé et de soins,13/03/2026,L’ANR est engagée dans le Partenariat « Transforming Health Care Systems » (THCS) et participe à l’appel « Access to Care ».,https://anr.fr/fr/detail/call/thcs-2026-transformation-des-systemes-de-sante-reduire-les-inegalites-dacces-et-dutilisation-d/?utm_source=Newsletter&utm_medium=Email&utm_campaign=novembre-2025,2025-11-21,"[""2025-11-21"", ""2025-12-10"", ""2026-02-02"", ""2026-06-30""]",[],"[""thcs@anr.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-thcs-jtc-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-thcs-jtc-2026-guidelines-applicants-v1.0.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-thcs-jtc-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-thcs-jtc-2026-PreProposal_Template.docx""]",Ciências da Saúde,Outro
47,anr,"Appel à projets transnationaux ""Stratégies pour de nouveaux traitements antimicrobiens et pour une meilleure adhérence aux protocoles thérapeutiques existants"" (OH-TREAT 2026)",13/03/2026,L’Agence Nationale de la Recherche (ANR) participe à l’appel à projets transnationaux lancé en 2025 par le partenariat Européen OHAMR (One-Health Antimicrobial Resistance). Cet appel implique 37 organismes de financement de 28 pays différents. Le budget global pour cet appel est de plus de 31 millions d’euros. Cet appel se déroule en deux étapes (pré-propositions/ propositions détaillées).,https://anr.fr/fr/detail/call/appel-a-projets-transnationaux-strategies-pour-de-nouveaux-traitements-antimicrobiens-et-pour-une-m/?utm_source=Newsletter&utm_medium=Email&utm_campaign=decembre-2025,2025-11-18,"[""2025-11-18"", ""2026-02-02"", ""2026-06-17""]","[""250 000 euros"", ""330 000 euros"", ""450 000 euros""]","[""eupohamr_calls@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-ohtreat-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-ohtreat-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-ohtreat-2026-Pre-Proposal.docx""]",Ciências da Saúde,Projeto / Appel
48,anr,"EP PerMed - Appel à projets en Recherche, Innovation et Technologie (RITC) 2026 - Test et Démonstration de l’Utilisation de Données Multimodales pour la Médecine Personnalisée (MultiPMData2026)",13/03/2026,"Dans le cadre du partenariat européen pour la médecine personnalisée (MP), EP PerMed (soutenu par l’Union européenne dans le cadre d’Horizon Europe, accord de subvention n° 101137129), l’Agence Nationale de la Recherche (ANR), en collaboration avec 19 agences de financements, lance un appel à projets transnational conjoint en Recherche, Innovation et Technologie (RITC) 2026 - Test et Démonstration de l’Utilisation de Données Multimodales pour la Médecine Personnalisée (acronyme « MultiPMData2026 »). Le budget disponible pour cet appel à projets est de 14.5 Mio €.",https://anr.fr/fr/detail/call/ep-permed-appel-a-projets-en-recherche-innovation-et-technologie-ritc-2026-test-et-demonstrat/?utm_source=Newsletter&utm_medium=Email&utm_campaign=octobre-2025,2025-10-02,"[""2025-10-02"", ""2025-11-13"", ""2026-01-12"", ""2026-04-27""]",[],"[""eppermed@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-eppermed-ritc-2026-v2.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-ritc-2026-GuidelinesApplicants-12112025.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-ritc-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-eppermed-ritc-2026-pre-proposal-form.docx""]",Informática e IA,Projeto / Appel
49,anr,Appel à projets conjoint ANR/DST 2026 en Mathématiques Appliquées et Intelligence Artificielle,13/03/2026,"Lors de la deuxième réunion du comité mixte franco-indien pour la science et la technologie (JCST) à Delhi, le 18 janvier 2024, l’Agence nationale de la recherche (ANR) et le Département des Sciences et Technologies du gouvernement indien (DST) ont convenu de mettre en place de nouveaux appels à projets cofinancés afin de poursuivre et d'intensifier la coopération scientifique entre la France et l’Inde.",https://anr.fr/fr/detail/call/appel-a-projets-conjoint-anrdst-2026-en-mathematiques-appliquees-et-intelligence-artificielle/,2026-02-19,"[""2026-02-19"", ""2026-04-20""]",[],"[""eugenio.echague@agencerecherche.fr"", ""mamadou.mboup@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-anr-dst-mia-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-anr-dst-mia-2026-annexe-fr.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-anr-dst-mia-2026-Full-proposal-template.docx""]",Geral,Projeto / Appel
50,anr,Appel à candidatures Programme CARNOT 2026,13/03/2026,,https://anr.fr/fr/detail/call/appel-a-candidatures-programme-carnot-2026/,2025-11-28,"[""2025-11-28"", ""2026-03-10"", ""2026-03-13"", ""2026-04-09""]",[],"[""question-aac-carnot@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aac-carnot-2026-032026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aac-carnot-2026-document-de-soumission-mars2026.docx"", ""https://anr.fr/fileadmin/aap/2026/aac-carnot-2026-document-engagements.docx"", ""https://anr.fr/fileadmin/aap/2026/aac-carnot-2026-FAQ-13032026.pdf""]",Geral,Outro
51,anr,Chaires industrielles - édition 2026,13/03/2026,L’Agence nationale de la recherche (ANR) a dans ses missions la stimulation des coopérations entre acteurs publics et acteurs privés de la recherche. Cette stimulation se traduit notamment par le programme « Chaires Industrielles » et dédié à la recherche partenariale. Ce programme fait partie de la composante « Impact économique de la recherche et compétitivité » du Plan d’action de l’ANR.,https://anr.fr/fr/detail/call/chaires-industrielles-edition-2026-1/,2026-02-23,"[""2026-02-23"", ""2026-05-21""]",[],"[""celestin.bakala@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-chin-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-chin-2026-TRAME-DOC-SCIENTIFIQUE.doc"", ""https://anr.fr/fileadmin/aap/2026/aap-chin-2026-Annexe.xlsx""]",Ciências da Saúde,Outro
52,anr,"LabCom 2026 - Laboratoires communs organismes de recherche publics – PME, ETI et Start up",13/03/2026,"L’objet de ce programme est d’inciter les acteurs de la recherche académique à créer des partenariats structurés à travers la co-construction de « Laboratoires Communs » entre une PME ou une ETI et un laboratoire d’organisme de recherche. Un Laboratoire Commun est défini par la signature d’un contrat définissant son fonctionnement, et notamment :",https://anr.fr/fr/detail/call/labcom-2026-laboratoires-communs-organismes-de-recherche-publics-pme-eti-et-start-up/,2025-12-23,"[""2025-12-23"", ""2026-02-27"", ""2026-09-22""]",[],"[""labcom@agencerecherche.fr""]",[],"[""https://anr.fr/fileadmin/aap/2026/aap-labcom-2026.pdf"", ""https://anr.fr/fileadmin/aap/2026/aap-labcom-2026-document-scientifique.docx""]",Informática e IA,Outro
